study index2
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAB0001                 508.2        960.00000        9.40    Use file-vertical      1  N44°26'28.03" W122°58'15.65"
ABAC0001                 612.2        960.00000        9.40    Use file-vertical      1  N44°26'00.57" W122°53'05.49"
ABAE0001                 436.0        960.00000       12.00    Use file-vertical      1  N44°36'36.44" W122°43'01.26"
ABAE0003                 436.0        960.00000       10.20    Use file-vertical      1  N44°36'36.44" W122°43'01.26"
ABAH0001                 150.8        960.00000       18.90    Use file-vertical      1  N44°42'46.38" W122°58'55.79"
ABAH0002                 150.8        960.00000       18.90    Use file-vertical      1  N44°42'46.38" W122°58'55.79"
ABAH0003                 145.8        960.00000       19.40    Use file-vertical      1  N44°42'46.38" W122°58'55.79"
ABAI0001                 283.1        960.00000       18.90    Use file-vertical      1  N44°41'36.84" W122°50'11.16"
ABAI0002                 283.1        960.00000       18.90    Use file-vertical      1  N44°41'36.84" W122°50'11.16"
ABAJ0001                 191.8        960.00000       13.90    Use file-vertical      1  N44°39'19.33" W123°12'15.11"
ABAJ0003                 186.8        960.00000       14.40    Use file-vertical      1  N44°39'19.33" W123°12'15.11"
ABAK0001                 111.3        960.00000       18.90    Use file-vertical      1  N44°33'03.63" W123°04'38.75"
ABAK0002                 111.3        960.00000       18.90    Use file-vertical      1  N44°33'03.63" W123°04'38.75"
ABAK0003                 106.3        960.00000       19.40    Use file-vertical      1  N44°33'03.63" W123°04'38.75"
ABAL0002                 261.1        960.00000       18.90    Use file-vertical      1  N44°47'00.69" W122°37'49.63"
ABAM0004                 186.8        960.00000       19.40    Use file-vertical      1  N44°51'18.85" W122°59'47.32"
ABAN0001                 271.2        960.00000       19.40    Use file-vertical      1  N44°49'52.35" W123°02'29.12"
ABAN0002                 271.2        960.00000       19.40    Use file-vertical      1  N44°49'52.35" W123°02'29.12"
ABAO0001                 335.6        960.00000       19.40    Use file-vertical      1  N44°43'12.04" W122°39'55.55"
ABAO0002                 335.6        960.00000       19.40    Use file-vertical      1  N44°43'12.04" W122°39'55.55"
ABAP0001                 336.0        960.00000       19.40    Use file-vertical      1  N44°29'11.65" W122°46'49.08"
ABAP0002                 336.0        960.00000       19.40    Use file-vertical      1  N44°29'11.65" W122°46'49.08"
ABAP0003                 336.0        960.00000       19.40    Use file-vertical      1  N44°29'11.65" W122°46'49.08"
ABAQ0001                 118.5        960.00000       19.40    Use file-vertical      1  N44°31'56.19" W123°12'00.29"
ABAQ0002                 118.5        960.00000       19.40    Use file-vertical      1  N44°31'56.19" W123°12'00.29"
ABAR0001                1149.4        960.00000       14.40    Use file-vertical      1  N44°38'33.77" W122°36'07.19"
ABAR0002                1149.4        960.00000       14.40    Use file-vertical      1  N44°38'33.77" W122°36'07.19"
ABAS0001                 130.7        960.00000       15.40    Use file-vertical      1  N44°44'35.36" W123°09'16.06"
ABAS0002                 130.7        960.00000       15.40    Use file-vertical      1  N44°44'35.36" W123°09'16.06"
ABAS0003                 130.7        960.00000       15.40    Use file-vertical      1  N44°44'35.36" W123°09'16.06"
ABAT0001                 796.6        960.00000       19.40    Use file-vertical      1  N44°40'17.64" W122°36'13.46"
ABAU0002                 971.8        960.00000       15.40    Use file-vertical      1  N44°30'08.17" W122°36'08.04"
ABAV0001                 881.6        960.00000       19.40    Use file-vertical      1  N44°32'03.76" W122°37'17.87"
ABAV0002                 881.6        960.00000       19.40    Use file-vertical      1  N44°32'03.76" W122°37'17.87"
ABAW0001                 177.1        960.00000       14.40    Use file-vertical      1  N44°50'39.39" W122°49'11.15"
ABAW0002                 177.1        960.00000       14.40    Use file-vertical      1  N44°50'39.39" W122°49'11.15"
ABAX0001                 768.5        960.00000       19.40    Use file-vertical      1  N44°50'03.66" W122°36'14.84"
ABAX0002                 768.5        960.00000       19.40    Use file-vertical      1  N44°50'03.66" W122°36'14.84"
ABAY0002                 586.4        960.00000       19.40    Use file-vertical      1  N44°27'30.95" W122°37'17.27"
ABAZ0001                 149.3        960.00000       19.40    Use file-vertical      1  N44°48'00.93" W123°11'41.93"
ABAZ0002                 149.3        960.00000       19.40    Use file-vertical      1  N44°48'00.93" W123°11'41.93"
ABBA0001                 489.7        960.00000       15.40    Use file-vertical      1  N44°50'41.67" W122°41'22.50"
ABBA0002                 489.7        960.00000       15.40    Use file-vertical      1  N44°50'41.67" W122°41'22.50"
ABBC0001                 188.2        960.00000       19.40    Use file-vertical      1  N44°46'16.67" W123°01'38.09"
ABBC0002                 188.2        960.00000       19.40    Use file-vertical      1  N44°46'16.67" W123°01'38.09"
ABBD0001                 117.8        960.00000       19.40    Use file-vertical      1  N44°28'45.67" W123°11'47.60"
ABBD0002                 117.8        960.00000       19.40    Use file-vertical      1  N44°28'45.67" W123°11'47.60"
M101                     136.7        960.00000        6.40    Use file-vertical      1  N44°39'08.11" W123°07'30.60"
M102                      76.9        960.00000       12.40    Use file-vertical      1  N44°39'24.87" W123°04'27.89"
